"entity_type","bundle",deleted,entity_id,revision_id,"language",delta,"field_old_text_author_in_book_value","field_old_text_author_in_book_format"
"node","book",0,2079,2079,"und",0,"אברהם פריצול",NULL
"node","book",0,2082,2082,"und",0,"ר' שמחה מזלאזיץ",NULL
"node","book",0,2105,2105,"und",0,"רמב\"ם",NULL
"node","book",0,2166,2166,"und",0,"רמב\"ם, מאימאנידעס",NULL
"node","book",0,2185,2185,"und",0,"משה חיים לוצאטו",NULL
"node","book",0,2193,2193,"und",0,"נפתלי הירץ וויזל",NULL
"node","book",0,2213,2213,"und",0,"רמב\"ם",NULL
"node","book",0,2267,2267,"und",0,"ר' משה ן' חביב",NULL
"node","book",0,2277,2277,"und",0,"מנחם  המכונה בונאפוס בן אברהם הפרפניאני",NULL
"node","book",0,2289,2289,"und",0,"יוסף אלבו",NULL
"node","book",0,2294,2294,"und",0,"ר' בנימן מוספיה",NULL
"node","book",0,2344,2344,"und",0,"מנשה בן ישראל",NULL
"node","book",0,2345,2345,"und",0,"רמב\"ם",NULL
"node","book",0,2363,2363,"und",0,"אבן תבון, יהודה בן שאול",NULL
"node","book",0,2370,2370,"und",0,"חלם, שלמה בן משה",NULL
